iter	Passed	Remaining
761	976	304
762	978	303
763	979	302
764	980	301
765	981	299
766	982	298
767	983	297
768	984	295
769	985	294
770	986	292
771	987	291
772	988	290
773	989	288
774	990	287
775	992	286
776	993	285
777	994	283
778	995	282
779	996	281
780	997	279
781	998	278
782	999	276
783	999	275
784	1001	274
785	1002	272
786	1004	271
787	1005	270
788	1006	269
789	1007	267
790	1008	266
791	1009	264
792	1009	263
793	1010	262
794	1011	260
795	1012	259
796	1014	258
797	1015	257
798	1016	255
799	1017	254
800	1018	253
801	1019	251
802	1020	250
803	1021	248
804	1022	247
805	1022	246
806	1023	244
807	1024	243
808	1026	242
809	1027	240
810	1028	239
811	1029	238
812	1030	237
813	1031	235
814	1033	234
815	1034	233
816	1034	231
817	1035	230
818	1036	229
819	1037	227
820	1038	226
821	1040	225
822	1042	224
823	1043	222
824	1044	221
825	1045	220
826	1046	218
827	1047	217
828	1048	216
829	1048	214
830	1049	213
831	1051	212
832	1052	211
833	1054	209
834	1055	208
835	1056	207
836	1057	205
837	1058	204
838	1058	203
839	1059	201
840	1060	200
841	1061	199
842	1062	197
843	1063	196
844	1064	195
845	1066	194
846	1067	192
847	1068	191
848	1069	190
849	1070	188
850	1071	187
851	1072	186
852	1073	184
853	1074	183
854	1075	182
855	1076	181
856	1077	179
857	1079	178
858	1080	177
859	1081	176
860	1082	174
861	1083	173
862	1083	172
863	1084	170
864	1085	169
865	1086	168
866	1087	166
867	1089	165
868	1090	164
869	1091	163
870	1092	161
871	1093	160
872	1094	159
873	1095	157
874	1096	156
875	1097	155
876	1098	154
877	1099	152
878	1100	151
879	1101	150
880	1102	148
881	1103	147
882	1105	146
883	1106	145
884	1107	143
885	1108	142
886	1108	141
887	1109	139
888	1110	138
889	1111	137
890	1112	136
891	1113	134
892	1114	133
893	1116	132
894	1117	131
895	1118	129
896	1120	128
897	1121	127
898	1122	126
899	1123	124
900	1123	123
901	1124	122
902	1125	120
903	1126	119
904	1128	118
905	1129	117
906	1130	115
907	1131	114
908	1132	113
909	1133	112
910	1134	110
911	1135	109
912	1136	108
913	1137	107
914	1138	105
915	1140	104
916	1141	103
917	1142	102
918	1144	100
919	1145	99
920	1145	98
921	1146	97
922	1148	95
923	1148	94
924	1149	93
925	1150	91
926	1151	90
927	1152	89
928	1154	88
929	1155	86
930	1156	85
931	1157	84
932	1158	83
933	1159	81
934	1160	80
935	1161	79
936	1162	78
937	1163	76
938	1164	75
939	1165	74
940	1166	73
941	1168	71
942	1169	70
943	1170	69
944	1171	68
945	1172	66
946	1173	65
947	1174	64
948	1175	63
949	1175	61
950	1176	60
951	1178	59
952	1179	58
953	1180	56
954	1181	55
955	1182	54
956	1184	53
957	1184	51
958	1185	50
959	1187	49
960	1187	48
961	1188	46
962	1190	45
963	1191	44
964	1192	43
965	1193	42
966	1195	40
967	1196	39
968	1196	38
969	1197	37
970	1198	35
971	1199	34
972	1200	33
973	1201	32
974	1202	30
975	1203	29
976	1204	28
977	1206	27
978	1207	25
979	1208	24
980	1209	23
981	1210	22
982	1210	20
983	1211	19
984	1212	18
985	1213	17
986	1215	16
987	1216	14
988	1217	13
989	1218	12
990	1220	11
991	1221	9
992	1222	8
993	1223	7
994	1223	6
995	1224	4
996	1225	3
997	1226	2
998	1227	1
999	1229	0
